PWY0-1465	1.1.1.83	D-malate dehydrogenase (decarboxylating)
PWY-7036	1.3.1.93	trans-lignocero-2-enoyl-CoA reductase
CATECHOL-ORTHO-CLEAVAGE-PWY	3.1.1.24	&beta;-ketoadipate enol-lactone hydrolase
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	3.1.1.24	&beta;-ketoadipate enol-lactone hydrolase
PWY3O-4106	2.7.7.1	NMN adenylyltransferase
NAD-BIOSYNTHESIS-III	2.7.7.1	NMN adenylyltransferase
MGLDLCTANA-PWY	1.1.1.78	methylglyoxal reductase
PWY0-1479	3.1.13.1	ribonuclease
PWY0-1479	3.1.26.12	ribonuclease
PWY-5270	1.14.11.32	thebane <i>O</i>-demethylase
PWY-5971	1.3.1.9	dodecanoyl-[acyl-carrier-protein] reductase
PWY-7436	5.5.1.24	&delta;-tocotrienol cyclase
PWY-7436	5.5.1.24	&gamma;-tocotrienol cyclase
P124-PWY	4.1.2.9	xylulose-5-phosphate phosphoketolase
P122-PWY	4.1.2.9	xylulose-5-phosphate phosphoketolase
PWY-5741	1.3.1.85	crotonyl-CoA carboxylase/reductase
PWY-5742	2.6.1.84	L-arginine:pyruvate transaminase
PWY-5740	1.1.1.356	GDP-L-colitose synthase
P282-PWY	1.7.2.-	nitrite oxidoreductase
PWY-7436	2.5.1.116	homogentisate geranylgeranyl transferase
PWY-6948	6.4.1.-	3-oxo-24-ethyl-cholest-4,24-dien-26-oyl-CoA carboxylase
PWY-84	2.3.1.-	p-coumaroyltriacetic acid synthase
PWY-5055	5.3.3.6	3-methylitaconate &Delta;-isomerase
PWY-5967	2.5.1.50	lupinic acid synthase
PWY-6948	1.1.1.145	sitosterol dehydrogenase
PWY-7342	2.5.1.72	quinolinate synthase
PWY-5316	2.5.1.72	quinolinate synthase
PYRIDNUCSYN-PWY	2.5.1.72	quinolinate synthase
PWY-5031	2.6.1.58	histidine-pyruvate aminotransferase
PWYG-321	2.1.1.79	cis-keto-C60-meroacyl-[acp] synthase
PWY-6529	1.97.1.1	chlorate reductase
PWY-7210	3.5.4.12	dCMP deaminase
PWY-6436	1.14.13.48	(-)-(4S)-Limonene-6-hydroxylase
PWY-5928	1.14.13.48	(-)-(4S)-Limonene-6-hydroxylase
PWY-6368	3.1.3.66	phosphatidylinositol-3,4-bisphosphate 4-phosphatase
P241-PWY	1.1.1.-	<i>threo</i>-iso(homo)<sub>2</sub>citrate dehydrogenase
PWYG-321	1.3.1.9	trans-delta2-cis,cis-delta15,27-C46:3-[acp]:NADH+ oxidoreductase
PWY-7233	2.1.1.64	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase
PWY-7230	2.1.1.64	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase
PWY3O-19	2.1.1.64	S-adenosyl-L-methionine:2-hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol O-methyltransferase
PWY-5733	4.2.3.71	germacrene B synthase
PWY-7407	3.3.2.-	aurachin C epoxide hydrolase/isomerase
PWY-6642	1.1.1.337	(R)-sulfolactate dehydrogenase
P261-PWY	1.1.1.337	(R)-sulfolactate dehydrogenase
PWY-842	3.2.1.1	starch glucanohydrolase
PWY-7409	3.1.1.5	lyso-phosphatidylethanolaminelipase
PWY-842	3.2.1.-	1,4-&alpha;-D-glucan glucanohydrolase
PWY-622	2.4.1.1	1,4-a-D-glucan:phosphate a-D-glucosyltransferase
PWY-7409	2.3.1.23	acyl-CoA:lyso-phosphatidylethanolamine acyltransferase
PWY-7282	1.1.1.65	pyridoxine 4-dehydrogenase/pyridoxal reductase
PWY-7204	1.1.1.65	pyridoxine 4-dehydrogenase/pyridoxal reductase
PWY-2941	3.5.1.47	<i>N</i>-acetyl-diaminopimelate deacetylase
PWY-6463	2.3.2.10	UDP-N-acetylmuramoylpentapeptide-lysine <i>N</i><sup>6</sup>-alanyltransferase
LACTOSECAT-PWY	2.7.1.144	tagatose-6-phosphate kinase
PWY-7077	2.7.1.144	tagatose-6-phosphate kinase
PWY-7395	2.7.1.144	tagatose-6-phosphate kinase
GALACTITOLCAT-PWY	2.7.1.144	tagatose-6-phosphate kinase
PWY-5265	2.7.8.13	UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine:di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
PWY-6471	2.7.8.13	UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine:di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate phospho-N-acetylmuramoyl-pentapeptide-transferase
PWY-5789	1.1.1.298	malonic semialdehyde reductase
PWY0-1471	1.1.1.298	malonic semialdehyde reductase
PWY-5744	1.1.1.298	malonic semialdehyde reductase
PWY-5743	1.1.1.298	malonic semialdehyde reductase
PWY-6432	2.3.1.-	demethoxycurcumin synthase
PWY-6432	2.3.1.219	demethoxycurcumin synthase
PWY-6432	2.3.1.217	curcumin synthase
PWY-5203	1.14.99.43	&beta;-amyrin-hydroxylase
PWY-6432	2.3.1.218	p-coumaroyl-diketide-CoA synthase
PWY-6438	2.3.1.218	p-coumaroyl-diketide-CoA synthase
PWY-6432	2.3.1.218	feruloyl-diketide-CoA synthase
PWY-6432	2.3.1.219	bisdemethoxycurcumin syntase
PWY-5519	4.2.1.141	2-keto-3-deoxyxylonate dehydratase
PWY-6760	4.2.1.141	2-keto-3-deoxyxylonate dehydratase
PWY-5519	1.1.1.-	D-arabinose 1-dehydrogenase
PWY-5517	1.2.1.-	&alpha;-ketoglutaric semialdehyde dehydrogenase
PWY-7295	1.1.1.359	L-arabinose dehydrogenase
PWY-5517	1.1.1.359	L-arabinose dehydrogenase
PWY-6533	3.5.1.-	<i>N</i>-glutamylanilide hydrolase
PWY-6533	3.5.1.-	<i>N</i>-glutamylanilide diol hydrolase
PWY-5523	1.13.11.79	5,6-dimethylbenzimidazole synthase
PWY-5508	1.13.11.79	5,6-dimethylbenzimidazole synthase
P201-PWY	4.99.1.-	1,2-dinitroglycerin reductase (2-mononitroglycerol forming)
PWY-5782	1.1.99.21	D-sorbitol dehydrogenase
PWY-5521	1.1.99.21	D-sorbitol dehydrogenase
PWY-6602	4.2.1.-	2-hydroxynaringenin-6C-glucoside dehydratase
PWY-7188	1.14.13.-	eriodictyol 2-hydroxylase
PWY-6602	2.4.1.-	6C-naringenin dibenzoylmethane tautomer glucosyltransferase
PWY-6967	1.4.9.1	methylamine dehydrogenase
PWY-5497	2.7.2.1	acetate kinase
P164-PWY	2.7.2.1	acetate kinase
PWY4LZ-257	2.7.2.1	acetate kinase
METH-ACETATE-PWY	2.7.2.1	acetate kinase
P3-PWY	2.7.2.1	acetate kinase
P124-PWY	2.7.2.1	acetate kinase
FERMENTATION-PWY	2.7.2.1	acetate kinase
P163-PWY	2.7.2.1	acetate kinase
PWY-5485	2.7.2.1	acetate kinase
PWY0-1312	2.7.2.1	acetate kinase
P161-PWY	2.7.2.1	acetate kinase
PWY-5482	2.7.2.1	acetate kinase
PWY-6558	2.8.2.-	[heparan sulfate]-&alpha;-L-iduronate-2-<i>O</i>-sulfotransferase
PWY-7188	2.4.1.-	eriodictyol dibenzoylmethane tautomer 8C-glucosyltransferase
PWY-6536	1.2.1.16	succinate-semialdehyde dehydrogenase
PWY-102	1.14.11.-	gibberellin A20,2-oxoglutarate:oxygen oxidoreductase
PWY-7251	5.4.99.41	lupeol synthase
PWY-112	5.4.99.41	lupeol synthase
PWY-6109	5.4.99.41	lupeol synthase
PWY-102	1.14.11.-	gibberellin A29,2-oxoglutarate:oxygen oxidoreductase
PWY-5410	1.13.11.12	linoleate 13S-lipoxygenase
PWY-5409	1.13.11.12	linoleate 13S-lipoxygenase
PWY-7357	2.7.1.50	hydroxyethylthiazole kinase
PWY-7353	2.7.1.50	hydroxyethylthiazole kinase
PWY-6897	2.7.1.50	hydroxyethylthiazole kinase
PWY-5747	4.2.1.117	2-methylcitrate dehydratase
PWY-102	1.14.11.-	gibberellin A8,2-oxoglutarate:oxygen oxidoreductas
12DICHLORETHDEG-PWY	3.8.1.3	haloacid dehalogenase
HEMESYN2-PWY	1.3.5.3	protoporphyrinogen dehydrogenase
PWY-6863	1.1.1.-	hexanol dehydrogenase
PWY-7401	1.3.8.11	cyclohexane-1-carbonyl-CoA dehydrogenase
PWY-7402	1.3.8.11	cyclohexane-1-carbonyl-CoA dehydrogenase
PWY-301	1.3.8.11	cyclohexane-1-carbonyl-CoA dehydrogenase
VALDEG-PWY	1.2.1.27	methylmalonate-semialdehyde dehydrogenase
PWY-6007	4.2.1.124	arabidiol synthase
PWY-6518	1.1.1.238	3&alpha;,7&alpha;-dihydroxy-12-oxo-5&beta;-cholanate reductase
PWY-3661	1.5.3.1	sarcosine oxidase
CRNFORCAT-PWY	1.5.3.1	sarcosine oxidase
PWY-4722	1.5.3.1	sarcosine oxidase
PWY-6766	1.2.1.28	benzaldehyde dehydrogenase
PWY-6763	1.2.1.28	benzaldehyde dehydrogenase
PWY-6446	1.2.1.28	benzaldehyde dehydrogenase
PWY-6444	1.2.1.28	benzaldehyde dehydrogenase
TOLUENE-DEG-CATECHOL-PWY	1.2.1.28	benzaldehyde dehydrogenase
PWY-1501	1.2.1.28	benzaldehyde dehydrogenase
P303-PWY	4.2.1.-	hydrazine hydrolase
HYDROXYPRODEG-PWY	1.2.1.-	L-4-hydroxyglutamate semialdehyde dehydrogenase
PWY-7416	2.3.1.158	phospholipid: lyso-phosphatidylcholine acyltransferase
TRIGLSYN-PWY	2.3.1.158	phospholipid: lyso-phosphatidylcholine acyltransferase
PWY-7338	2.3.1.16	3-ketoacyl-CoA thiolase
PWY-7338	1.3.3.6	fatty acyl-CoA oxidase
PWY-6572	3.1.6.9	chondro-4-sulfatase
PWY-7332	3.5.3.-	UDP-<i>N</i>-acetyl-&beta;-L-fucosamine amidotransferase
PWY-7332	3.5.3.-	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate amidotranferase
VALDEG-PWY	1.2.1.25	3-methyl-2-oxobutanoate dehydrogenase
PWY-7338	1.3.3.6	fatty acyl-CoA oxidase
PWY-7338	4.2.1.119	<i>trans</i>--2-enoyl-CoA hydratase 2
PWY-7338	1.1.1.-	3-hydroxyacyl-CoA dehydrogenase
PWY-2083	2.1.1.150	isoflavone-7-O-methyltransferase
PWY0-1295	2.4.2.2	uridine phosphorylase
PWY-1861	5.3.1.27	6-phospho-3-hexuloisomerase
RUMP-PWY	5.3.1.27	6-phospho-3-hexuloisomerase
NONMEVIPP-PWY	1.17.7.1	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
PWY-6689	3.1.3.84	ADP-ribose 1''-phosphate phosphatase
PWY-2083	2.1.1.46	genistein 4'-<i>O</i>-methyltransferase
PWY-6543	4.1.3.38	aminodeoxychorismate lyase
PWY-6722	4.1.3.38	aminodeoxychorismate lyase
PWY-7419	5.4.2.9	phospho<i>enol</i>pyruvate mutase
PWY-6839	5.4.2.9	phospho<i>enol</i>pyruvate mutase
PWY-6682	5.4.2.9	phospho<i>enol</i>pyruvate mutase
PWY-6322	5.4.2.9	phospho<i>enol</i>pyruvate mutase
PWY-5757	5.4.2.9	phospho<i>enol</i>pyruvate mutase
PWY-6475	5.2.1.13	prolycopene isomerase
PWY-5140	1.3.3.-	cannabichromenate synthase
PWY-5320	2.4.1.-	kaempferol 3-sophoroside 7-<i>O</i>-rhamnosyltransferase
PWY-6060	2.1.3.10	malonyl-[acyl-carrier protein]:biotin-protein carboxyltransferase
PWY-6060	6.2.1.35	acyl-carrier protein: acetate ligase
PWY-6060	4.3.99.2	RXN-9777
PWY-6044	1.14.13.111	methanesulfonate monooxygenase
PWY-6059	1.14.13.111	methanesulfonate monooxygenase
PWY-5129	2.3.1.-	sphinganine N-acyltransferase
PWY-7174	4.4.1.-	1-methylthio-xylulose 5-phosphate sulfo-lyase
PWY-2161	6.3.2.17	methylene-tetrahydrofolylpolyglutamate synthetase
PWY-7480	1.13.11.14	2,3-dihydroxybenzoate 3,4-dioxygenase
GLUTDEG-PWY	4.3.1.1	aspartate ammonia-lyase
PWY-5129	2.7.1.-	inositolphosphorylceramide synthase
PWY-6107	1.14.13.1	5-chlorosalicylate 1-hydroxylase
PWY-7071	2.4.1.-	steviolbioside glucosyltransferase
PWY-7251	5.4.99.35	taraxerol synthase
PWY-6109	5.4.99.35	taraxerol synthase
PWY-882	2.7.7.13	mannose-1-phosphate guanylyltransferase
PWY-6082	2.7.7.13	mannose-1-phosphate guanylyltransferase
PWY-6073	2.7.7.13	mannose-1-phosphate guanylyltransferase
PWY-5659	2.7.7.13	mannose-1-phosphate guanylyltransferase
PWY-6104	1.2.1.28	3-chlorobenzaldehyde dehydrogenase
PWY-5084	2.3.1.61	dihydrolipoyltranssuccinylase
PWY-6107	1.14.13.1	4-chlorosalicylate 1-hydroxylase
PWY-6989	1.14.13.-	3,6-diketocamphane 1,6-monooxygenase
PWY-6111	2.3.1.21	carnitine O acetyltransferase
PWY-7071	2.4.1.-	stevioside glucosyltransferase
PWY-7173	2.4.1.240	"quercetin 3-<i>O</i>-diglucoside 2""-glucosyltransferase"
PHOSLIPSYN2-PWY	2.7.8.8	phosphatidylserine synthase
PWY-5669	2.7.8.8	phosphatidylserine synthase
PWY-7016	2.4.1.285	UDP-GlcNAc:ribostamycin <i>N</i>-acetylglucosaminyltransferase
PWY-7016	3.5.1.113	2'''-acetyl-6'''-hydroxyneomycin C deacetylase
PWY-7016	1.1.3.44	6'''-hydroxyneomycin C 6'-oxidase
PWY-7016	2.6.1.95	glutamate--6'-oxoneomycin C aminotransferase
PWY-7009	1.14.13.-	2,3-dihydrobenzoate monooxygenase
PWY-7009	1.13.11.-	2,2',3,3'-tetrahydroxybiphenyl-1,2-dioxygenase
PWY-7009	3.7.1.8	2-hydroxy-6-oxo-6-(2,3-dihydroxyphenyl)-hexa-2,4-dienoate hydrolase
PWY-5981	2.3.1.-	acyl phosphate:glycerol-3-phosphate acyltransferase
PWY-5982	1.2.1.73	sulfoacetaldehyde dehydrogenase
PWY-6344	5.4.3.5	D-ornithine aminomutase
TEICHOICACID-PWY	2.4.1.52	poly(glycerol-phosphate) &alpha;-glucosyltransferase
PWY-63	5.1.3.5	UDP-D-xylose 4-epimerase
PWYG-321	4.2.1.59	3-cis,cis-delta15,33-3-hydroxyC52:2-[acyl-carrier protein] dehydratase
PWY-7049	3.1.2.2	acyl-CoA thioesterase
PWY-695	1.2.3.14	abscisic-aldehyde:oxygen oxidoreductase
PWY-3041	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-6445	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-6436	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-3061	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-5928	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-5423	4.2.3.16	(4<em>S</em>)-limonene synthase
PWY-7234	3.5.4.10	IMP cyclohydrolase
PWY-6123	3.5.4.10	IMP cyclohydrolase
PWY-6124	3.5.4.10	IMP cyclohydrolase
PWY66-301	2.1.1.28	noradrenaline <i>N</i>-methyltransferase
PWY-6342	2.1.1.28	noradrenaline <i>N</i>-methyltransferase
PWY-7179	2.4.2.1	deoxyadenosine phosphorylase
PWY-7181	2.4.2.2	thymidine phosphorylase
GLUDEG-II-PWY	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY-7118	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY-6672	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY0-1313	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY66-162	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY66-161	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY66-21	6.2.1.1	acetyl-CoA synthetase (AMP-forming)
PWY-5844	2.1.1.163	S-adenosylmethionine:2-demethylmenaquinol-9 methyltransferase
PWY-5915	1.3.7.2	15,16-dihydrobiliverdin:ferredoxin oxidoreductase
PWY-4801	2.3.1.-	aloesone synthase
PWY-7084	1.7.2.6	hydroxylamine oxidoreductase (nitric oxide-forming)
PWY-5846	2.1.1.-	isoandrocymbine O-methyltransferase
PWY-7131	3.2.1.184	UDP-<i>N,N'</i>-diacetylbacillosamine 2-epimerase
PWY-5047	1.14.-.-	gibberellin A14,NADPH:oxygen oxidoreductase
PWY-4201	2.1.1.146	S-adenosyl-L-methionine eugenol-<i>O</i>-methyltransferase
PWY-4201	2.1.1.146	SAM: chavicol <i>O</i>- methyltransferase
PWY-7137	2.4.1.-	quercetin gentiobioside 1,6-glucosyltransferase
PWY-5882	2.3.1.224	p-coumaryl alcohol acetyltransferase
PWY-7135	2.1.1.-	6-O-methyldeacetylisoipecoside aglycon 7-O-methyltransferase
PWY-6361	2.7.1.151	myo-inositol (1,4,5,6)-tetrakisphosphate 3-phosphatase
PWY-6366	2.7.1.151	myo-inositol (1,4,5,6)-tetrakisphosphate 3-phosphatase
PWY-7135	2.1.1.-	deacetylisoipecoside 6-O-methyltransferase
PWY-7135	3.2.1.-	6-O-methyl-deacetylisoipecoside beta-glucosidase
PWY-7135	2.1.1.-	cephaeline O-methyltransferase
PWY-5321	2.4.1.-	quercetin-3-<i>O</i>-glucoside 1,6-glucosyltransferase
PWY-7137	2.4.1.-	quercetin-3-<i>O</i>-glucoside 1,6-glucosyltransferase
TRIGLSYN-PWY	2.7.1.174	diacylglycerol kinase (CTP)
PWY-7135	2.1.1.-	7'-O-demethylcephaeline 7'-O-methyltransferase
PWYG-321	2.1.1.-	trans-methoxy-C60-meroacyl-[acp] synthetase
PWY0-862	1.3.1.9	<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-[acp]:NAD+ oxidoreductase
PWY0-862	4.2.1.59	3-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-[acp] dehydratase
PWY0-862	1.1.1.100	3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-[acp] reductase
PWY-6525	2.4.1.123	UDP-galactose:myo-inositol 3-&alpha;-D-galactosyltransferase
PWY-6524	2.4.1.123	UDP-galactose:myo-inositol 3-&alpha;-D-galactosyltransferase
PWY-5337	2.4.1.123	UDP-galactose:myo-inositol 3-&alpha;-D-galactosyltransferase
P662-PWY	1.14.12.-	dibenzofuran 4,4a-dioxygenase
PWY-6572	4.2.2.20	chondroitin sulfate A endolyase
PWY-7138	2.1.1.117	(S)-scoulerine 9-O-methyltransferase
PWY-3901	2.1.1.117	(S)-scoulerine 9-O-methyltransferase
PWY-862	3.2.1.-	fructan 6 dehydrolase
PWY-6861	1.1.1.315	11-<i>cis</i>-retinol dehydrogenase
PWY-5270	1.1.1.218	morphine:NAD(P)+ 6-oxidoreductase
PWY-6767	1.2.99.-	4,4'-diapolycopenedial dehydrogenase
PWY-6855	3.2.1.-	<i>N,N'</i>-diacetylchitobiose synthase
PWY-6863	1.3.1.44	<i>trans</i>-2-hexenoyl-CoA reductase
PWY-6883	1.3.1.44	crotonyl-CoA reductase
PWY-6863	1.3.1.44	crotonyl-CoA reductase
PWY-6788	3.2.1.91	1,4-&beta;-cellobiohydrolase
PWY-7037	2.4.1.-	glucosaminyl-&alpha;1,3-<i>N,N'</i>-diacetylbacillosaminyl-&alpha;1-diphospho-<i>di-trans,octa-cis</i>-undecaprenol synthase
PWY-7037	2.4.1.-	galactosaminyl-&alpha;1,3-<i>N,N'</i>-diacetylbacillosaminyl-&alpha;1-diphospho-<i>di-trans,octa-cis</i>-undecaprenol synthase
PWY-7037	2.4.1.-	(galactosaminyl)<sub>2</sub>-<i>N,N'</i>-diacetylbacillosaminyl-&alpha;1-diphospho-<i>di-trans,octa-cis</i>-undecaprenol synthase
PWY-5035	1.14.11.-	(gibberellin-19), 2-oxoglutarate:oxygen oxidoreductase
PWY0-1353	1.10.3.14	cytochrome <i>bd</i>-I terminal oxidase
PWY0-1334	1.10.3.14	cytochrome <i>bd</i>-I terminal oxidase
PWY0-1347	1.7.2.3	trimethylamine N-oxide reductase
PWY0-1355	1.7.2.3	trimethylamine N-oxide reductase
PWY-6803	3.1.1.4	phospholipase A2
LIPASYN-PWY	3.1.1.4	phospholipase A2
PWY0-1335	1.10.3.10	cytochrome <i>bo</i> terminal oxidase
PWY0-1544	1.10.3.10	cytochrome <i>bo</i> terminal oxidase
PWY0-1329	1.10.3.10	cytochrome <i>bo</i> terminal oxidase
LIPA-CORESYN-PWY	2.4.-.-	ADP-heptose:Kdo<sub>2</sub>-lipid A heptosyltransferase
PWY1G-0	3.5.1.103	<i>N</i>-acetyl-1-D-<i>myo</i>-inositol-2-amino-2-deoxy-&alpha;-D-glucopyranoside deacetylase
PWY1G-0	2.3.1.189	mycothiol synthase
PWY-6965	1.5.99.5	<i>N</i>-methyl glutamate dehydrogenase
ARABCAT-PWY	2.7.1.16	L-ribulokinase
PWY-6540	1.14.13.123	germacrene A oxidase
PWY-5789	1.2.1.75	malonyl-coenzyme A reductase
PWY-5744	1.2.1.75	malonyl-coenzyme A reductase
PWY-5743	1.2.1.75	malonyl-coenzyme A reductase
PWY-5030	2.1.2.5	glutamate formimidoyltransferase
PWY-5741	4.1.3.24	&beta;-methylmalyl-CoA lyase
PWY-5744	4.1.3.24	&beta;-methylmalyl-CoA lyase
PWY-6728	4.1.3.24	&beta;-methylmalyl-CoA lyase
PWY-5743	2.8.3.22	succinyl CoA:L-malate CoA transferase
PWY-5744	4.2.1.153	mesaconyl-C4-CoA hydratase
PWY-5318	1.1.1.236	tropinone reductase
PWY-7246	4.2.2.-	digalacturonate lyase
PWY-6352	2.7.1.137	phosphatidylinositol 3-kinase
PWY-6190	3.1.1.-	2-chloro-5-methyl-dienelactone hydrolase
GAMMAHEXCHLORDEG-PWY	4.5.1.-	&gamma;-hexachlorocyclohexane dehydrochlorinase
PWY-1422	2.1.1.95	&gamma;-tocopherol methyltransferase
PWY-3581	2.1.1.128	norcoclaurine 6-O-methyltransferase
PWY-7426	2.4.1.144	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase
PWY-5939	4.1.1.5	acetolactate decarboxylase
PWY-6344	5.1.1.12	ornithine racemase
PWY-6121	6.3.3.1	phosphoribosylformylglycinamide cyclo-ligase
PWY-6277	6.3.3.1	phosphoribosylformylglycinamide cyclo-ligase
PWY-6122	6.3.3.1	phosphoribosylformylglycinamide cyclo-ligase
PWY-7321	1.1.3.16	ecdysone oxidase
PWY-6467	2.4.99.14	KDO<sub>2</sub>-lipid IV<sub>A</sub> (2-8) 3-deoxy-D-<i>manno</i>-octulosonic acid transferase
PWYG-321	5.3.3.14	trans-delta2-cis-delta15-C34:2-[acp] isomerase
PWY-6873	1.1.5.5	ethanol dehydrogenase
PWYG-321	2.3.1.179	cis,cis-delta15,27-C46:2-[acyl-carrier protein]:malonyl-[acyl-carrier protein] malonyltransferase
PWY-6391	1.1.1.-	(R,S)-butanediol dehydrogenase [(R)-acetoin-forming]
PWY-6511	2.6.1.-	5-guanidino-3-methyl-2-oxo-pentanoate aminotransferase
PWY-5938	1.1.1.303	[(R)-acetoin forming]-diacetyl reductase
PWYG-321	1.3.1.9	trans-delta2-cis,cis-delta21,39-C58:3-[acp]:NADH+ oxidoreductase
PWY-5426	2.1.1.6	catechol <i>O</i>-methyltransferase
PWY6666-2	2.1.1.6	catechol <i>O</i>-methyltransferase
PWY-6511	2.1.1.243	2-ketoarginine:SAM methyltransferase
PWY-7405	2.5.1.-	2-methyl-4-hydroxyquinoline farnesyltransferase
PWY-7407	2.5.1.-	2-methyl-4-hydroxyquinoline farnesyltransferase
LYSINE-AMINOAD-PWY	1.5.1.10	saccharopine dehydrogenase (NADP+, L-glutamate-forming)
PWY-7404	2.7.8.-	CDP-ethanolamine:ceramide ethanolamine phosphotransferase
PWY-7405	2.3.1.-	4-hydroxy-2-methylquinoline synthase
PWY-7407	2.3.1.-	4-hydroxy-2-methylquinoline synthase
PWY-7407	1.14.13.-	aurachin D <i>N</i>-monooxygenase
PWY-7407	1.14.13.-	aurachin B monooxygenase
PWY-7405	1.14.13.-	9'-hydroxy-aurachin D monooxygenase
PWY-5381	3.1.3.5	&beta;-nicotinamide D-ribonucleotide phosphohydrolase
NAD-BIOSYNTHESIS-II	3.1.3.5	&beta;-nicotinamide D-ribonucleotide phosphohydrolase
PWY-6686	2.4.1.266	glucosyl-3-phosphoglycerate synthase
PWY-5411	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-5422	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-5421	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-5414	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-5413	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-5412	5.5.1.12	<i>ent</i>-copalyl diphosphate synthase
PWY-7407	1.14.13.-	aurachin C monooxygenase
PWY-5269	3.1.3.27	phosphatidylglycerophosphatase
PWY0-1545	3.1.3.27	phosphatidylglycerophosphatase
PWY4FS-7	3.1.3.27	phosphatidylglycerophosphatase
PWY4FS-8	3.1.3.27	phosphatidylglycerophosphatase
PWY-5668	3.1.3.27	phosphatidylglycerophosphatase
PWY-5940	3.1.3.40	1-guanidino-1-deoxy-<i>scyllo</i>-inositol 4-phosphate phosphatase
PWY66-4	1.1.1.170	4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol 3-dehydrogenase (decarboxylating)
PWY66-341	1.1.1.170	4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol 3-dehydrogenase (decarboxylating)
PWY-6074	1.1.1.170	4&alpha;-carboxy-4&beta;-methyl-5&alpha;-cholesta-8,24-dien-3&beta;-ol 3-dehydrogenase (decarboxylating)
PWY-7410	4.2.3.15	myrcene synthase
PWY-3041	4.2.3.15	myrcene synthase
PWY-5423	4.2.3.15	myrcene synthase
PWY-6823	2.10.1.1	molybdopterin molybdenumtransferase
PWY-5301	1.3.1.36	geissoschizine dehydrogenase
PWY-361	1.1.1.195	sinapyl alcohol dehydrogenase
PWY-6578	2.3.1.47	8-amino-7-oxononanoate synthase
PWY-6823	2.7.7.75	molybdopterin adenylyltransferase
PWY-7398	6.2.1.12	trans-caffeate--CoA ligase
PWY-1121	6.2.1.12	trans-caffeate--CoA ligase
PWY-6673	6.2.1.12	trans-caffeate--CoA ligase
PWY-2541	5.3.3.5	4&alpha;-methyl-5&alpha;-ergosta-8,14,24(28)-dien-3&beta;-ol &Delta;8-&Delta;7-sterol isomerase
PWY-5998	1.14.19.-	&Delta;<sup>6</sup>-acyl-lipid desaturase
PWY-6823	4.1.99.18	cyclic pyranopterin monophosphate synthase
METHFORM-PWY	2.8.4.1	methyl-coenzyme M reductase
AMMOXID-PWY	1.7.2.6	hydroxylamine reductase
PWY-7082	1.7.2.6	hydroxylamine reductase
PWY-2541	1.14.13.-	24-ethylidenelophenol 4&alpha;-methyl oxidase
P562-PWY	5.3.1.30	5-deoxy-D-glucuronate isomerase
PWY-7256	2.4.1.300	cyanidin 3-<i>O</i>-glucoside 7-<i>O</i>-glucosyltransferase (acyl-glucose dependent)
PWY-6654	2.7.1.169	pantoate kinase
PWY-6654	6.3.2.36	4-phosphopantoate-&beta;-alanine ligase
PWY-5489	3.1.8.1	methyl parathion hydrolase
